netInteraction,missingAttractors,missingGMP,type
cebpa -> cebpa,0,0,direct
cebpa -> cjun,0,0,direct
cebpa -> gfi1,4,0,direct
cebpa -> lf,1,0,direct
cebpa -> mbp,0,0,direct
cebpa -> mitf,3,0,direct
cebpa -> mpo,0,0,direct
cebpa -> ne,1,0,direct
cebpa -> pu1,4,0,direct
cjun -> mcsfr,2,0,direct
cjun -> mmcp6,0,0,direct
cjun -> pu1,0,0,direct
ckit -> mitf,0,0,direct
cmyb -> ne,0,0,direct
egr -> gfi1,4,0,direct
gata1 -> ckit,0,0,direct
gata1 -> fceRIa,0,0,direct
gata1 -> fceRIb,0,0,direct
gata1 -> gata1,0,0,direct
gata1 -> gata2,0,0,direct
gata1 -> mbp,0,0,direct
gata1 -> mcsfr,0,0,direct
gata1 -> scl,0,0,direct
gata2 -> ckit,4,0,direct
gata2 -> fceRIa,3,0,direct
gata2 -> gata2,3,0,direct
gata2 -> mbp,1,0,direct
gata2 -> mccpa,0,0,direct
gata2 -> mcsfr,3,1,direct
gata2 -> runx1,3,0,direct
gfi1 -> egr,4,0,direct
gfi1 -> pu1,0,0,direct
mitf -> cebpa,0,0,direct
mitf -> ckit,9,2,direct
mitf -> mmcp6,0,0,direct
pu1 -> cmyb,5,0,direct
pu1 -> egr,4,0,direct
pu1 -> fceRIa,6,0,direct
pu1 -> gmcsfr,0,0,direct
pu1 -> mbp,3,0,direct
pu1 -> mcsfr,1,0,direct
pu1 -> mpo,1,0,direct
pu1 -> ne,2,0,direct
pu1 -> pu1,3,0,direct
pu1 -> runx1,6,0,direct
runx1 -> gmcsfr,3,0,direct
runx1 -> mcsfr,2,0,direct
runx1 -> pu1,0,0,direct
runx1 -> runx1,1,0,direct
scl -> ckit,0,0,direct
scl -> scl,5,0,direct
bc -> jak2,10,0,indirect
cebpa -> bc,5,0,indirect
cebpa -> cmyb,4,0,indirect
cebpa -> gcsfr,5,0,indirect
cebpb -> mbp,0,0,indirect
ckit -> mmcp6,3,0,indirect
egr -> lf,1,0,indirect
gata1 -> ccr3,2,1,indirect
gcsfr -> mbp,0,0,indirect
gfi1 -> mbp,3,0,indirect
gmcsfr -> jak2,0,0,indirect
il3ra -> jak2,0,0,indirect
jak2 -> stat5,0,0,indirect
pu1 -> bc,4,0,indirect
pu1 -> ccr3,0,0,indirect
pu1 -> gcsfr,4,0,indirect
runx1 -> ccr3,0,0,indirect
stat5 -> cebpb,0,0,indirect
stat5 -> gata2,0,0,indirect
cebpa -> ccr3,2,0,proposed
ckit -> mccpa,0,0,proposed
egr -> mpo,1,0,proposed
egr -> ne,1,0,proposed
gata1 -> il3ra,0,0,proposed
gata1 -> mpo,0,0,proposed
gata1 -> ne,0,0,proposed
gata2 -> il3ra,5,1,proposed
gata2 -> lf,2,0,proposed
gata2 -> lf,2,0,proposed
gata2 -> mpo,1,0,proposed
gata2 -> ne,1,0,proposed
mitf -> mccpa,0,0,proposed
